Label,Gene_x,Taxon_x,Reference_x,Gene_y,Taxon_y,Reference_y,Ontology
CREB3L2,Cyclic AMP-responsive element-binding protein 3-like protein 2,NCBITaxon:9606,GO_REF:0000002,cAMP responsive element binding protein 3-like 2,NCBITaxon:10090,MGI:MGI:2152098|GO_REF:0000002,GO0030968
VAPB,Vesicle-associated membrane protein-associated protein B/C,NCBITaxon:9606,PMID:16891305,"vesicle-associated membrane protein, associated protein B and C",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
CDK5RAP3,CDK5 regulatory subunit-associated protein 3,NCBITaxon:9606,PMID:23152784,CDK5 regulatory subunit associated protein 3,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
TBL2,Transducin beta-like protein 2,NCBITaxon:9606,PMID:25393282,transducin (beta)-like 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
SERP1,Stress-associated endoplasmic reticulum protein 1,NCBITaxon:9606,Reactome:R-HSA-381070,stress-associated endoplasmic reticulum protein 1,NCBITaxon:10090,MGI:MGI:3619104|PMID:16415102,GO0030968
ERO1A,ERO1-like protein alpha,NCBITaxon:9606,GO_REF:0000107,endoplasmic reticulum oxidoreductase 1 alpha,NCBITaxon:10090,MGI:MGI:3525819|PMID:15601821,GO0030968
BAK1,Bcl-2 homologous antagonist/killer,NCBITaxon:9606,PMID:16645094,BCL2-antagonist/killer 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
DDRGK1,DDRGK domain-containing protein 1,NCBITaxon:9606,PMID:28128204,DDRGK domain containing 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030968
BOK,Bcl-2-related ovarian killer protein,NCBITaxon:9606,GO_REF:0000024,BCL2-related ovarian killer,NCBITaxon:10090,MGI:MGI:5648772|PMID:26015568,GO0030968
NCK2,Cytoplasmic protein NCK2,NCBITaxon:9606,GO_REF:0000107,non-catalytic region of tyrosine kinase adaptor protein 2,NCBITaxon:10090,MGI:MGI:5613478|PMID:14676213,GO0030968
SERP2,Stress-associated endoplasmic reticulum protein 2,NCBITaxon:9606,PMID:21873635,stress-associated endoplasmic reticulum protein family member 2,NCBITaxon:10090,PMID:21873635,GO0030968
UBE2G2,Ubiquitin-conjugating enzyme E2 G2,NCBITaxon:9606,PMID:25660456,ubiquitin-conjugating enzyme E2G 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
UBE2J1,Ubiquitin-conjugating enzyme E2 J1,NCBITaxon:9606,PMID:25660456,ubiquitin-conjugating enzyme E2J 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
TMEM129,E3 ubiquitin-protein ligase TM129,NCBITaxon:9606,PMID:24807418,transmembrane protein 129,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
HSP90B1,Endoplasmin,NCBITaxon:9606,PMID:25660456,"heat shock protein 90, beta (Grp94), member 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
VCP,Transitional endoplasmic reticulum ATPase,NCBITaxon:9606,PMID:15215856,valosin containing protein,NCBITaxon:10090,MGI:MGI:5634892|PMID:12847084,GO0030970
AUP1,Lipid droplet-regulating VLDL assembly factor AUP1,NCBITaxon:9606,PMID:25660456,ancient ubiquitous protein 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
ERLEC1,Endoplasmic reticulum lectin 1,NCBITaxon:9606,PMID:25660456,endoplasmic reticulum lectin 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
EDEM1,ER degradation-enhancing alpha-mannosidase-like protein 1,NCBITaxon:9606,PMID:24200403,"ER degradation enhancer, mannosidase alpha-like 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
RHBDD1,Rhomboid-related protein 4,NCBITaxon:9606,GO_REF:0000024,rhomboid domain containing 1,NCBITaxon:10090,MGI:MGI:5437551|PMID:22795130,GO0030970
BCAP31,B-cell receptor-associated protein 31,NCBITaxon:9606,PMID:18555783,B cell receptor associated protein 31,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
HERPUD1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,NCBITaxon:9606,PMID:25660456,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,NCBITaxon:9606,PMID:25660456,ubiquitin recognition factor in ER-associated degradation 1,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
SYVN1,E3 ubiquitin-protein ligase synoviolin,NCBITaxon:9606,PMID:25660456,"synovial apoptosis inhibitor 1, synoviolin",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
NPLOC4,Nuclear protein localization protein 4 homolog,NCBITaxon:9606,PMID:25660456,"NPL4 homolog, ubiquitin recognition factor",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
OS9,Protein OS-9,NCBITaxon:9606,PMID:25660456,amplified in osteosarcoma,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
DERL2,Derlin-2,NCBITaxon:9606,PMID:16449189,"Der1-like domain family, member 2",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
DERL3,Derlin-3,NCBITaxon:9606,PMID:25660456,"Der1-like domain family, member 3",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
EDEM2,ER degradation-enhancing alpha-mannosidase-like protein 2,NCBITaxon:9606,PMID:24200403,"ER degradation enhancer, mannosidase alpha-like 2",NCBITaxon:10090,MGI:MGI:5563002|PMID:24200403,GO0030970
DERL1,Derlin-1,NCBITaxon:9606,PMID:15215855,"Der1-like domain family, member 1",NCBITaxon:10090,MGI:MGI:2154458|GO_REF:0000008,GO0030970
SEC61B,Protein transport protein Sec61 subunit beta,NCBITaxon:9606,PMID:17215517,Sec61 beta subunit,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
SELENOS,Selenoprotein S,NCBITaxon:9606,PMID:15215856,selenoprotein S,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
YOD1,Ubiquitin thioesterase OTU1,NCBITaxon:9606,PMID:24068323,YOD1 deubiquitinase,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
UBAC2,Ubiquitin-associated domain-containing protein 2,NCBITaxon:9606,PMID:25660456,ubiquitin associated domain containing 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
SVIP,Small VCP/p97-interacting protein,NCBITaxon:9606,PMID:25660456,small VCP/p97-interacting protein,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
FAF2,FAS-associated factor 2,NCBITaxon:9606,PMID:25660456,Fas associated factor family member 2,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
SEL1L,Protein sel-1 homolog 1,NCBITaxon:9606,PMID:25660456,sel-1 suppressor of lin-12-like (C. elegans),NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0030970
PDCL,Phosducin-like protein,NCBITaxon:9606,GO_REF:0000107,phosducin-like,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0061083
ST13,Hsc70-interacting protein,NCBITaxon:9606,GO_REF:0000107,suppression of tumorigenicity 13,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0061083
BAG5,BAG family molecular chaperone regulator 5,NCBITaxon:9606,PMID:15603737,BCL2-associated athanogene 5,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0061083
RPL18A,60S ribosomal protein L18a,NCBITaxon:9606,PMID:12962325,ribosomal protein L18A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
ISG15,Ubiquitin-like protein ISG15,NCBITaxon:9606,PMID:21873635,ISG15 ubiquitin-like modifier,NCBITaxon:10090,PMID:21873635,GO0022626
APOD,Apolipoprotein D,NCBITaxon:9606,GO_REF:0000024,apolipoprotein D,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL6,60S ribosomal protein L6,NCBITaxon:9606,PMID:12962325,ribosomal protein L6,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL18,60S ribosomal protein L18,NCBITaxon:9606,PMID:12962325,ribosomal protein L18,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS17,40S ribosomal protein S17,NCBITaxon:9606,PMID:15883184,ribosomal protein S17,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
EIF2AK4,eIF-2-alpha kinase GCN2,NCBITaxon:9606,GO_REF:0000024,eukaryotic translation initiation factor 2 alpha kinase 4,NCBITaxon:10090,MGI:MGI:3687696|PMID:1739968,GO0022626
EIF2A,Eukaryotic translation initiation factor 2A,NCBITaxon:9606,PMID:21873635,eukaryotic translation initiation factor 2A,NCBITaxon:10090,PMID:21873635,GO0022626
RPS3,40S ribosomal protein S3,NCBITaxon:9606,PMID:15883184,ribosomal protein S3,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS9,40S ribosomal protein S9,NCBITaxon:9606,PMID:15883184,ribosomal protein S9,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS10,40S ribosomal protein S10,NCBITaxon:9606,PMID:15883184,ribosomal protein S10,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
PPARGC1A,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,NCBITaxon:9606,GO_REF:0000107,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL17,60S ribosomal protein L17,NCBITaxon:9606,PMID:12962325,ribosomal protein L17,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL13A,60S ribosomal protein L13a,NCBITaxon:9606,PMID:12962325,ribosomal protein L13A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS20,40S ribosomal protein S20,NCBITaxon:9606,PMID:15883184,ribosomal protein S20,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL37,60S ribosomal protein L37,NCBITaxon:9606,PMID:12962325,ribosomal protein L37,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
DHX29,ATP-dependent RNA helicase DHX29,NCBITaxon:9606,PMID:20018725,DEAH (Asp-Glu-Ala-His) box polypeptide 29,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL35A,60S ribosomal protein L35a,NCBITaxon:9606,PMID:12962325,ribosomal protein L35A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL36A,60S ribosomal protein L36a,NCBITaxon:9606,PMID:12962325,ribosomal protein L36A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS27A,Ubiquitin-40S ribosomal protein S27a,NCBITaxon:9606,PMID:15883184,ribosomal protein S27A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL3L,60S ribosomal protein L3-like,NCBITaxon:9606,PMID:12962325,Ribosomal protein L3-like,NCBITaxon:10090,PMID:21873635,GO0022626
DDX3X,ATP-dependent RNA helicase DDX3X,NCBITaxon:9606,PMID:18596238,"DEAD box helicase 3, X-linked",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL24,60S ribosomal protein L24,NCBITaxon:9606,PMID:12962325,ribosomal protein L24,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS21,40S ribosomal protein S21,NCBITaxon:9606,PMID:15883184,ribosomal protein S21,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS29,40S ribosomal protein S29,NCBITaxon:9606,PMID:15883184,ribosomal protein S29,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL7,60S ribosomal protein L7,NCBITaxon:9606,PMID:12962325,ribosomal protein L7,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS27L,40S ribosomal protein S27-like,NCBITaxon:9606,PMID:21873635,ribosomal protein S27-like,NCBITaxon:10090,PMID:21873635,GO0022626
RPL13,60S ribosomal protein L13,NCBITaxon:9606,PMID:12962325,ribosomal protein L13,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL37A,60S ribosomal protein L37a,NCBITaxon:9606,PMID:12962325,ribosomal protein L37a,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
LARP4,La-related protein 4,NCBITaxon:9606,PMID:21098120,"La ribonucleoprotein domain family, member 4",NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL38,60S ribosomal protein L38,NCBITaxon:9606,PMID:12962325,ribosomal protein L38,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL4,60S ribosomal protein L4,NCBITaxon:9606,PMID:12962325,ribosomal protein L4,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
EIF2D,Eukaryotic translation initiation factor 2D,NCBITaxon:9606,PMID:20713520,eukaryotic translation initiation factor 2D,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPS5,40S ribosomal protein S5,NCBITaxon:9606,PMID:15883184,ribosomal protein S5,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL28,60S ribosomal protein L28,NCBITaxon:9606,PMID:12962325,ribosomal protein L28,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL21,60S ribosomal protein L21,NCBITaxon:9606,PMID:12962325,ribosomal protein L21,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL5,60S ribosomal protein L5,NCBITaxon:9606,PMID:12962325,ribosomal protein L5,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL27A,60S ribosomal protein L27a,NCBITaxon:9606,PMID:12962325,ribosomal protein L27A,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
MRPL1,"39S ribosomal protein L1, mitochondrial",NCBITaxon:9606,PMID:21873635,mitochondrial ribosomal protein L1,NCBITaxon:10090,PMID:21873635,GO0022626
RPL7L1,60S ribosomal protein L7-like 1,NCBITaxon:9606,PMID:21873635,ribosomal protein L7-like 1,NCBITaxon:10090,PMID:21873635,GO0022626
RPSA,40S ribosomal protein SA,NCBITaxon:9606,PMID:8706699,ribosomal protein SA,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL26,60S ribosomal protein L26,NCBITaxon:9606,PMID:12962325,ribosomal protein L26,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL27,60S ribosomal protein L27,NCBITaxon:9606,PMID:12962325,ribosomal protein L27,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL15,60S ribosomal protein L15,NCBITaxon:9606,PMID:12962325,ribosomal protein L15,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPS12,40S ribosomal protein S12,NCBITaxon:9606,PMID:15883184,ribosomal protein S12,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL12,60S ribosomal protein L12,NCBITaxon:9606,PMID:12962325,ribosomal protein L12,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL22,60S ribosomal protein L22,NCBITaxon:9606,PMID:12962325,ribosomal protein L22,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL35,60S ribosomal protein L35,NCBITaxon:9606,PMID:12962325,ribosomal protein L35,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL9,60S ribosomal protein L9,NCBITaxon:9606,PMID:12962325,ribosomal protein L9,NCBITaxon:10090,MGI:MGI:1289113|PMID:7600302,GO0022626
RPL36,60S ribosomal protein L36,NCBITaxon:9606,PMID:12962325,ribosomal protein L36,NCBITaxon:10090,PMID:21873635,GO0022626
RPL3,60S ribosomal protein L3,NCBITaxon:9606,PMID:12962325,ribosomal protein L3,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
RPL10,60S ribosomal protein L10,NCBITaxon:9606,PMID:12962325,ribosomal protein L10,NCBITaxon:10090,MGI:MGI:2154458|GO_REF:0000008,GO0022626
RPS19,40S ribosomal protein S19,NCBITaxon:9606,PMID:15883184,ribosomal protein S19,NCBITaxon:10090,MGI:MGI:4834177|GO_REF:0000096,GO0022626
RPL11,60S ribosomal protein L11,NCBITaxon:9606,PMID:12962325,ribosomal protein L11,NCBITaxon:10090,MGI:MGI:4417868|GO_REF:0000096,GO0022626
